No,PLAYER,TEAM,AGE,GP,W,L, MIN ,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Joel Embiid,PHI,29,7,5,2, 35 ,40.3,13.3,24.6,54.1,1.3,3,42.9,12.4,14.3,87,2.6,7.3,9.9,4.4,2.6,1,1.3,2.6,63,5,0,-3
2,Luka Doncic,DAL,24,6,2,4, 39 ,39.7,13.5,26.3,51.3,3.8,10.2,37.7,8.8,11.8,74.6,1,9.2,10.2,8.8,3.7,1.7,0.7,2.2,68.5,3,2,-7.7
3,Devin Booker,PHX,27,10,7,3, 37 ,32.7,11.9,21.4,55.6,2.9,7.3,39.7,6,6.8,88.2,0.3,3.8,4.1,6.1,2.4,1.1,0.3,2.2,48.6,1,0,9
4,Kyrie Irving,DAL,31,8,4,4, 37 ,30.8,11,23.4,47.1,3.6,8.4,43.3,5.1,5.6,91.1,1.1,5.4,6.5,5.8,2.4,1.8,0.8,2,52.3,1,0,3.1
5,Giannis Antetokounmpo,MIL,29,9,6,3, 36 ,30.7,11.6,19.3,59.8,0.4,1.8,25,7.1,11.4,62.1,2.9,9.8,12.7,8,3.7,1.1,0.9,3.3,60.2,8,4,6.1
6,Shai Gilgeous-Alexander,OKC,25,10,8,2, 33 ,29.9,9.7,18.4,52.7,1,3.7,27,9.5,10.6,89.6,1,3.2,4.2,6.6,2.7,1.7,0.9,2.4,49.9,2,0,8.3
7,Jalen Brunson,NYK,27,8,7,1, 34 ,29.4,9.9,19.3,51.3,2.6,6.8,38.9,7,8,87.5,0.4,3.1,3.5,6.9,2.6,0.5,0.1,1.8,43.1,0,0,16.5
8,Nikola Jokic,DEN,28,10,6,4, 33 ,27.5,11.2,16,70,0.9,1.7,52.9,4.2,4.9,85.7,3,8.1,11.1,8.6,3.5,0.9,1.1,2.7,56.2,8,2,2.1
9,Donovan Mitchell,CLE,27,10,9,1, 33 ,27.3,9.6,20.6,46.6,3.3,9.4,35.1,4.8,6.1,78.7,0.8,4.3,5.1,7.2,3.4,1.9,0.4,1.8,47.7,2,0,15.6
10,Karl-Anthony Towns,MIN,28,10,7,3, 35 ,26.9,9.6,16.9,56.8,3.4,6.1,55.7,4.3,5.1,84.3,1,7.1,8.1,3.3,2.6,0.7,0.3,3.3,42,3,0,8
11,Kevin Durant,PHX,35,10,7,3, 37 ,26,10.1,18.5,54.6,2.6,6.3,41.3,3.2,3.7,86.5,0.8,6.1,6.9,4.7,2.2,0.8,1.5,2.2,46,2,0,3.5
12,Jayson Tatum,BOS,25,9,7,2, 34 ,25.2,7.9,18.4,42.8,2.3,6.9,33.9,7.1,8.7,82.1,0.6,6.8,7.3,3.9,1.1,0.9,0.4,1.9,42.7,2,0,5.7
12,Stephen Curry,GSW,35,9,4,5, 32 ,25.2,8.3,19.4,42.9,4,10.7,37.5,4.6,5,91.1,0.3,3.2,3.6,6.1,2.4,1.2,0.4,1.8,41.2,0,0,-0.7
14,Jaren Jackson Jr.,MEM,24,8,5,3, 32 ,25.1,9.3,21.8,42.5,1.9,7.5,25,4.8,6,79.2,1.4,4.6,6,3.5,2.6,1.8,0.9,2.9,42.8,1,0,0.4
15,Lauri Markkanen,UTA,26,10,7,3, 33 ,25.1,7.8,15.5,50.3,3.2,7.2,44.4,6.3,7,90,2.4,7.3,9.7,2.6,1.3,0.8,0.5,1.3,43.2,5,0,9.8
16,Damian Lillard,MIL,33,9,6,3, 35 ,24.9,7.4,19.1,39,2.6,8.8,29.1,7.4,8.1,91.8,0.2,3.6,3.8,6.4,1.8,1.2,0,0.9,41,1,0,4.7
17,Victor Wembanyama,SAS,20,8,4,4, 26 ,24.9,9.1,17.9,51,1.5,4.8,31.6,5.1,6,85.4,2.9,7.1,10,3.5,3.5,0.6,2.8,2.3,48.8,5,1,4.6
18,Tyrese Maxey,PHI,23,10,6,4, 39 ,24.8,8.4,20.2,41.6,2.7,8.3,32.5,5.3,6.3,84.1,0.7,2.6,3.3,7,1.8,1.9,0.6,2.2,45,0,0,2.3
19,Julius Randle,NYK,29,10,8,2, 35 ,24.7,8.9,18.5,48.1,2.3,6.4,35.9,4.6,5.7,80.7,2.5,6,8.5,6.2,3.6,0.4,0.3,2.5,42.7,2,1,12
19,Mikal Bridges,BKN,27,10,2,8, 38 ,24.7,8.5,18.8,45.2,3.1,8.6,36,4.6,5.5,83.6,0.4,4.4,4.8,3.8,2.2,1,0.6,1.8,38.8,0,0,-2.2
21,Paul George,LAC,33,10,8,2, 34 ,24.1,9,17.9,50.3,4.2,9.2,45.7,1.9,2.3,82.6,0.3,5,5.3,2.4,1.8,1.5,0.6,2.4,38.6,0,0,12.3
22,Jaylen Brown,BOS,27,9,6,3, 32 ,24,9.1,17,53.6,2.4,5.7,43.1,3.3,4.8,69.8,0.8,5.1,5.9,3.9,2.1,1.4,0.7,2.2,41.1,2,1,4.6
22,Marcus Smart,MEM,29,2,2,0, 29 ,24,9,18,50,4,10.5,38.1,2,3,66.7,0,5,5,4.5,3,2.5,0,1,41.3,0,0,13
24,D'Angelo Russell,LAL,27,10,6,4, 33 ,23.5,8.7,16.8,51.8,4.2,8.6,48.8,1.9,2.4,79.2,0.6,1.2,1.8,6.3,2.6,0.8,0.8,2.2,37.3,1,0,4.4
25,Alperen Sengun,HOU,21,10,3,7, 35 ,23.4,9.5,16.9,56.2,0.4,1.5,26.7,4,5.9,67.8,3.1,6.5,9.6,5.3,3.1,1.5,0.8,3.4,46.7,6,1,-5.3
25,Anthony Davis,LAL,30,10,6,4, 36 ,23.4,9,15.6,57.7,0.2,1.1,18.2,5.2,6.4,81.3,2.8,8.9,11.7,5,2,1.1,1.3,1.9,50.1,9,1,-1.6
27,Desmond Bane,MEM,25,3,2,1, 33 ,23.3,7.3,17.3,42.3,2.3,7.3,31.8,6.3,7,90.5,1.3,3.7,5,4,1.7,0.7,0.3,3,36.7,0,0,-1
28,Collin Sexton,UTA,25,10,7,3, 25 ,23.2,8.3,15,55.3,2.3,4.5,51.1,4.3,4.9,87.8,0.9,1.5,2.4,5.7,1.7,0.8,0.2,2.3,35.9,1,0,6.9
28,Dejounte Murray,ATL,27,10,4,6, 35 ,23.2,8.8,18.5,47.6,2.7,6.7,40.3,2.9,3.2,90.6,0.5,6.1,6.6,5.3,2.6,1,0.2,1.9,40.1,3,0,-7.9
30,Jamal Murray,DEN,26,10,6,4, 35 ,23,9.1,19,47.9,1.9,5.8,32.8,2.9,3.4,85.3,0.7,3.5,4.2,7.2,2.5,0.4,0.4,2.3,38.7,1,0,-2.8
30,LeBron James,LAL,39,8,6,2, 34 ,23,8.9,17.9,49.7,1.9,4.8,39.5,3.4,4.5,75,0.9,5.8,6.6,8,3.9,0.8,0.1,1.3,41.7,3,0,3.9
30,Trae Young,ATL,25,7,3,4, 35 ,23,6.9,18,38.1,2.6,7.4,34.6,6.7,7.6,88.7,0.7,1.7,2.4,9.7,4,1.3,0.4,2.3,41.6,5,0,-4
33,Coby White,CHI,23,10,6,4, 39 ,22.8,8.1,15.4,52.6,2.7,6.3,42.9,3.9,4.8,81.3,0.9,5.1,6,5.4,2.6,0.5,0.4,1.9,38.2,2,0,6.2
34,RJ Barrett,TOR,23,10,2,8, 35 ,22.6,9,15.9,56.6,1.3,3.9,33.3,3.3,5.5,60,1,6.2,7.2,3.9,1.5,0.7,0.4,2.8,38.9,1,0,-1.9
35,De'Aaron Fox,SAC,26,10,5,5, 35 ,22.3,8,18,44.4,2.5,6.3,39.7,3.8,5,76,0.5,2.2,2.7,4.2,2.2,1.4,0.3,2.3,34.7,0,0,-2.8
35,Paolo Banchero,ORL,21,10,3,7, 35 ,22.3,8.2,20,41,1.3,4.8,27.1,4.6,6.9,66.7,0.8,5.7,6.5,4.8,2.5,1,0.7,2.1,39.9,2,0,-4.8
37,LaMelo Ball,CHA,22,7,2,5, 30 ,22.3,7.3,17.9,40.8,2.6,9,28.6,5.1,5.9,87.8,0.9,3.6,4.4,7.6,3.4,2.7,0,3.9,43.7,2,0,-6.6
38,Anthony Edwards,MIN,22,10,7,3, 35 ,22.2,7.6,17.2,44.2,1.7,5.4,31.5,5.3,6.3,84.1,0.3,4.3,4.6,5.5,3.4,0.6,0.1,2.2,34.7,0,0,6.6
